software_version,cluster_header,clusterName,clusterSize,f_score,precision,recall,TN,FP,FN,TP,marker_count,NSForest_markers,binary_genes,onTarget
4.1,author_cell_type,DB3b,2336,0.7650196518809658,0.910609857978279,0.4666095890410959,70345,107,1246,1090,2,"['ABCA4', 'DPP10']","['MEIS2', 'CTNND2', 'ABCA4', 'MRPS30-DT', 'DPP10', 'ZNF385D', 'DSCAM', 'NFIA-AS2', 'DISC1', 'KIRREL3']",0.5648210048675537
4.1,author_cell_type,DB1,2998,0.7525476874836686,0.9896907216494846,0.3842561707805203,69778,12,1846,1152,2,"['NXPH2', 'EBF1']","['NXPH2', 'EBF1', 'LAMA3', 'ZMAT4', 'LRPPRC', 'RCVRN', 'KAZN', 'LINC01091', 'CDH8', 'SLIT2']",1.0
4.1,author_cell_type,OFFx,807,0.7227796358231141,0.8259023354564756,0.48203221809169766,71899,82,418,389,2,"['ENSG00000278254', 'ERBB4']","['FEZF1-AS1', 'ENSG00000278254.4', 'NXPH1', 'NAV3', 'TACR3', 'ERBB4', 'SGCD', 'SLC24A3', 'GREB1L', 'PDZRN4']",0.6554011106491089
4.1,author_cell_type,DB4b,699,0.48974189278623426,0.729064039408867,0.2117310443490701,72034,55,551,148,2,"['PAM', 'LAMA2']","['PAM', 'NEFL', 'PSG11-AS1', 'ENSG00000231252.4', 'LAMA2', 'OLFM3', 'PCDH7', 'ESRRG', 'NFIA-AS2', 'KIRREL3']",0.7617252469062805
4.1,author_cell_type,DB6,1836,0.8174445076835515,0.8852080123266564,0.6258169934640523,70803,149,687,1149,1,['ENSG00000275443'],"['ENSG00000275443.2', 'ROBO1', 'SULT1C4', 'LRRC4C', 'GNAL', 'NELL2', 'LRFN5', 'RALYL', 'LINC01091', 'SPOCK3']",1.0
4.1,author_cell_type,DB2,5536,0.8860912429924609,0.9678015307468989,0.6623916184971098,67130,122,1869,3667,2,"['TAFA4', 'DSCAM']","['NUP93', 'DPP10', 'TAFA4', 'ENSG00000250243.3', 'SLC24A3', 'DSCAM', 'GSG1', 'ANKS1B', 'NPHS1', 'NFIB']",0.4333887994289398
4.1,author_cell_type,BB,182,0.7093023255813954,0.9838709677419355,0.33516483516483514,72605,1,121,61,2,"['SORCS3', 'TAFA1']","['SORCS3', 'TAFA1', 'AFF3', 'ANK1', 'ASTN2', 'TRAC', 'LEMD1', 'SLC7A11', 'PCDH11X', 'PCP4L1']",1.0
4.1,author_cell_type,DB3a,3513,0.8488275024664188,0.9259105960264901,0.636777682892115,69096,179,1276,2237,1,['ENSG00000267109'],"['ENSG00000267109.1', 'CALB1', 'IRX6', 'DPP6', 'ADGRL3', 'SEMA3A', 'ERBB4', 'EPHA3', 'SLIT2', 'DSCAM']",1.0
4.1,author_cell_type,DB5,4752,0.7824347093513058,0.9393173198482933,0.4690656565656566,67892,144,2523,2229,2,"['DOK5', 'ST6GALNAC3']","['DOK5', 'MYO16', 'COL19A1', 'ST6GALNAC3', 'HS3ST5', 'KCNMB2', 'CSRP2', 'OLFM3', 'KCTD16', 'PRKCA']",1.0
4.1,author_cell_type,FMB,13299,0.8911151057340793,0.9747045178393903,0.6635085344762764,59260,229,4475,8824,2,"['SCG2', 'TAFA4']","['SCG2', 'PTPRO', 'SLC4A7', 'HHIP', 'TAFA4', 'DLGAP1', 'FRMD5', 'CACNA1A', 'KIAA1217', 'SGCD']",0.7554467916488647
4.1,author_cell_type,DB4a,3600,0.814956495649565,0.8931360460337032,0.6036111111111111,68928,260,1427,2173,1,['LINC01915'],"['LINC01915', 'TTR', 'IQCA1', 'PKN2-AS1', 'LINC00470', 'INSYN2A', 'SOX6', 'LAMA2', 'KIRREL3', 'NFIA-AS2']",1.0
4.1,author_cell_type,IMB,16489,0.8007852100344681,0.9203474208240653,0.5269573655164049,55547,752,7800,8689,2,"['PTPRT', 'CARMIL1']","['SLC35F4', 'PRKG1', 'RELN', 'PTPRT', 'CARMIL1', 'PCP4L1', 'DNER', 'HS3ST4', 'SOX5', 'ENSG00000254787.1']",0.5800557136535645
4.1,author_cell_type,GB,2378,0.7250351617440225,0.871513102282333,0.43355761143818333,70258,152,1347,1031,2,"['UTRN', 'NTRK3']","['UTRN', 'MAP3K5', 'NTRK3', 'ENSG00000267665.3', 'TENM3-AS1', 'STX18', 'PCDH11X', 'SGK1', 'HS3ST4', 'DNER']",1.0
4.1,author_cell_type,RB,14363,0.9077796969319254,0.9757871566657096,0.7098795516257049,58172,253,4167,10196,2,"['ENSG00000227681', 'C16orf74']","['ENSG00000227681.5', 'C16orf74', 'CDHR3', 'PRKCA-AS1', 'MCTP2', 'CA8', 'SASH1', 'ENSG00000286961.2', 'SAMD5', 'SDK1']",1.0
