cl_class	cl_label	Cell_type	Marker_set	Minimal_markers	Minimal_markers_label	Species	Species_abbv	Organ_region	Parent	FBeta_confidence_score	Marker_set_xref	cxg_dataset_title	CL_agreed
		DB4b	CLM:1001239	ensembl:ENSG00000145730|ensembl:ENSG00000196569	PAM|LAMA2	NCBITaxon:9606	Human	UBERON:0000966	SO:0001260	0.6081392137003959	https://doi.org/10.5281/zenodo.11165918	snRNA-seq of human retina - bipolar cell subclass	False
		OFFx	CLM:1001240	ensembl:ENSG00000047648|ensembl:ENSG00000278254	ARHGAP6|ENSG00000278254	NCBITaxon:9606	Human	UBERON:0000966	SO:0001260	0.7850189568603341	https://doi.org/10.5281/zenodo.11165918	snRNA-seq of human retina - bipolar cell subclass	False
		DB5	CLM:1001241	ensembl:ENSG00000082293|ensembl:ENSG00000101134	COL19A1|DOK5	NCBITaxon:9606	Human	UBERON:0000966	SO:0001260	0.8430602523544598	https://doi.org/10.5281/zenodo.11165918	snRNA-seq of human retina - bipolar cell subclass	False
		DB3b	CLM:1001242	ensembl:ENSG00000134138|ensembl:ENSG00000242021	MEIS2|ENSG00000242021	NCBITaxon:9606	Human	UBERON:0000966	SO:0001260	0.821782011862157	https://doi.org/10.5281/zenodo.11165918	snRNA-seq of human retina - bipolar cell subclass	False
		DB1	CLM:1001243	ensembl:ENSG00000053747|ensembl:ENSG00000164330	LAMA3|EBF1	NCBITaxon:9606	Human	UBERON:0000966	SO:0001260	0.9174744107692386	https://doi.org/10.5281/zenodo.11165918	snRNA-seq of human retina - bipolar cell subclass	False
		DB6	CLM:1001244	ensembl:ENSG00000275443	ENSG00000275443	NCBITaxon:9606	Human	UBERON:0000966	SO:0001260	0.877512570651428	https://doi.org/10.5281/zenodo.11165918	snRNA-seq of human retina - bipolar cell subclass	False
		DB2	CLM:1001245	ensembl:ENSG00000243004|ensembl:ENSG00000249803	ENSG00000243004|ENSG00000249803	NCBITaxon:9606	Human	UBERON:0000966	SO:0001260	0.7705138070338049	https://doi.org/10.5281/zenodo.11165918	snRNA-seq of human retina - bipolar cell subclass	False
		DB4a	CLM:1001246	ensembl:ENSG00000265485	LINC01915	NCBITaxon:9606	Human	UBERON:0000966	SO:0001260	0.871187663792776	https://doi.org/10.5281/zenodo.11165918	snRNA-seq of human retina - bipolar cell subclass	False
		FMB	CLM:1001247	ensembl:ENSG00000185942|ensembl:ENSG00000163377	NKAIN3|TAFA4	NCBITaxon:9606	Human	UBERON:0000966	SO:0001260	0.9157741044694531	https://doi.org/10.5281/zenodo.11165918	snRNA-seq of human retina - bipolar cell subclass	False
		GB	CLM:1001248	ensembl:ENSG00000152818	UTRN	NCBITaxon:9606	Human	UBERON:0000966	SO:0001260	0.8084593411777038	https://doi.org/10.5281/zenodo.11165918	snRNA-seq of human retina - bipolar cell subclass	False
		DB3a	CLM:1001249	ensembl:ENSG00000178568	ERBB4	NCBITaxon:9606	Human	UBERON:0000966	SO:0001260	0.9492430663786582	https://doi.org/10.5281/zenodo.11165918	snRNA-seq of human retina - bipolar cell subclass	False
		BB	CLM:1001250	ensembl:ENSG00000183662|ensembl:ENSG00000250971	TAFA1|ENSG00000250971	NCBITaxon:9606	Human	UBERON:0000966	SO:0001260	0.7972692917225406	https://doi.org/10.5281/zenodo.11165918	snRNA-seq of human retina - bipolar cell subclass	False
		RB	CLM:1001251	ensembl:ENSG00000128536|ensembl:ENSG00000264630	CDHR3|PRKCA-AS1	NCBITaxon:9606	Human	UBERON:0000966	SO:0001260	0.9295755186933219	https://doi.org/10.5281/zenodo.11165918	snRNA-seq of human retina - bipolar cell subclass	False
		IMB	CLM:1001252	ensembl:ENSG00000189056|ensembl:ENSG00000271860	RELN|ENSG00000271860	NCBITaxon:9606	Human	UBERON:0000966	SO:0001260	0.884807811930246	https://doi.org/10.5281/zenodo.11165918	snRNA-seq of human retina - bipolar cell subclass	False
