clusterName,clusterSize,f_score,recall,PPV,TN,FP,FN,TP,marker_count,markers,onTarget
Astro_1,500,0.6796875,0.348,0.8923076923076924,72623,21,326,174,2,"['SLC1A3', 'HPSE2']",0.08874522149562836
Astro_2,500,0.5566801619433198,0.22,0.9016393442622951,72632,12,390,110,2,"['LINC01411', 'OBI1-AS1']",0.38045722246170044
Astro_3,500,0.5711722488038278,0.382,0.6518771331058021,72542,102,309,191,5,"['HEPN1', 'F3', 'AGT', 'GJA1', 'AQP4']",0.22639325261116028
Astro_4,500,0.47279792746113986,0.292,0.5593869731800766,72529,115,354,146,4,"['PPP1R3C', 'ETNPPL', 'ID4', 'OBI1-AS1']",0.2461850941181183
Astro_5,500,0.7512626262626262,0.476,0.8782287822878229,72611,33,262,238,2,"['TNC', 'CD44']",1.0
Chandelier_1,500,0.7997481108312343,0.508,0.9338235294117647,72626,18,246,254,2,"['CA8', 'GPR149']",0.18023575842380524
Endo_1,109,0.831353919239905,0.6422018348623854,0.8974358974358975,73027,8,39,70,4,"['COLEC12', 'VWF', 'FLT1', 'ABCG2']",0.470639705657959
Endo_2,500,0.8270877944325483,0.618,0.9035087719298246,72611,33,191,309,2,"['HERC2P3', 'PRKCH']",0.5286353230476379
L2/3 IT_1,500,0.5517711171662125,0.324,0.6694214876033058,72564,80,338,162,4,"['PRSS12', 'ROS1', 'COL5A2', 'SLC38A11']",0.1224260926246643
L2/3 IT_2,500,0.6621140142517815,0.446,0.7533783783783784,72571,73,277,223,3,"['THSD4', 'TESPA1', 'TRPC3']",0.060344889760017395
L2/3 IT_3,500,0.675117924528302,0.458,0.7658862876254181,72574,70,271,229,4,"['COL27A1', 'ONECUT2', 'MOXD1', 'BMPR1B']",0.2448577880859375
L2/3 IT_4,500,0.6337047353760445,0.364,0.7777777777777778,72592,52,318,182,4,"['TPBG', 'FAP', 'ONECUT2', 'COL5A2']",0.2252473384141922
L2/3 IT_5,500,0.5061141304347826,0.298,0.6131687242798354,72550,94,351,149,3,"['GPX3', 'ADCYAP1', 'RMST']",0.5411108732223511
L2/3 IT_6,500,0.5509868421052632,0.268,0.7486033519553073,72599,45,366,134,3,"['LINC00507', 'ADAMTS3', 'LY86-AS1']",0.2596549093723297
L4 IT_1,500,0.6129032258064517,0.304,0.8216216216216217,72611,33,348,152,3,"['TPBG', 'RP11-197K6.1', 'ST8SIA4']",0.13859187066555023
L4 IT_2,500,0.7738095238095238,0.546,0.8639240506329114,72601,43,227,273,2,"['C6orf141', 'ST8SIA4']",0.5175915956497192
L4 IT_3,500,0.6151315789473684,0.374,0.7333333333333333,72576,68,313,187,3,"['TMEM215', 'KCNH8', 'RORB']",0.11091183125972748
L4 IT_4,500,0.6526243093922651,0.378,0.7974683544303798,72596,48,311,189,3,"['STAC', 'KCNH8', 'SYT2']",0.1014147400856018
L4 IT_5,500,0.6576797385620915,0.322,0.8895027624309392,72624,20,339,161,2,"['COL22A1', 'CMAHP']",0.640082597732544
L4 IT_6,500,0.6703910614525139,0.384,0.8240343347639485,72603,41,308,192,3,"['PLEKHH2', 'CLMN', 'ST8SIA4']",0.06749126315116882
L5 ET_1,500,0.728891820580475,0.442,0.8700787401574803,72611,33,279,221,2,"['LINC00922', 'POU3F1']",0.6281222105026245
L5 ET_2,500,0.7593749999999999,0.486,0.8836363636363637,72612,32,257,243,3,"['ATP6V1C2', 'LRP2', 'ST8SIA2']",0.2830759882926941
L5 ET_3,335,0.8891454965357967,0.6895522388059702,0.9585062240663901,72799,10,104,231,4,"['ONECUT1', 'TTC6', 'SEMA3D', 'FAM189A2']",0.5701438188552856
L5 ET_4,301,0.7297605473204105,0.42524916943521596,0.8888888888888888,72827,16,173,128,2,"['EHF', 'FGF11']",1.0
L5 IT_1,500,0.6250000000000001,0.456,0.6888217522658611,72541,103,272,228,3,"['CHST2', 'TLL1', 'RORB']",0.09858877211809158
L5 IT_2,500,0.5685240963855422,0.302,0.7294685990338164,72588,56,349,151,4,"['NPY2R', 'PCED1B', 'TLL1', 'RORB']",0.12606534361839294
L5 IT_3,500,0.49479166666666663,0.266,0.6303317535545023,72566,78,367,133,3,"['RPRM', 'HPCA', 'RORB']",0.05687811225652695
L5 IT_4,500,0.44211195928753183,0.278,0.5186567164179104,72515,129,361,139,4,"['C22orf34', 'LDLRAD3', 'RORB', 'KCNK2']",0.04990389943122864
L5 IT_5,500,0.5813953488372092,0.32,0.730593607305936,72585,59,340,160,4,"['NPNT', 'CA10', 'RORB', 'KCNK2']",0.0407002717256546
L5 IT_6,500,0.6619822485207101,0.358,0.8403755868544601,72610,34,321,179,3,"['NPFFR2', 'SULF2', 'RORB']",0.0539497546851635
L5/6 NP_1,500,0.49025974025974034,0.302,0.5807692307692308,72535,109,349,151,3,"['BARX2', 'CD36', 'NPSR1-AS1']",0.34249186515808105
