ID	SYMBOL	GENE_PRODUCT_NAME	GO_TERM	GO EVIDENCE CODE	REFERENCE	SUPERCLASS
ID	A IAO:0000028	A rdfs:label	AI RO:0002264	>A oboInOwl:evidence	>A oboInOwl:hasDbXref	SC %
https://identifiers.org/uniprot:E5FYH1	Topaz1	Protein TOPAZ1	GO:0035234	IMP	PMID:26358182	http://purl.obolibrary.org/obo/PR_000000001
https://identifiers.org/uniprot:P01582	Il1a	Interleukin-1 alpha	GO:0035234	IGI	PMID:11536012	http://purl.obolibrary.org/obo/PR_000000001
https://identifiers.org/uniprot:P05532	Kit	Mast/stem cell growth factor receptor Kit	GO:0035234	IGI	PMID:14660547	http://purl.obolibrary.org/obo/PR_000000001
https://identifiers.org/uniprot:P10749	Il1b	Interleukin-1 beta	GO:0035234	IGI	PMID:11536012	http://purl.obolibrary.org/obo/PR_000000001
https://identifiers.org/uniprot:P20826	Kitlg	Kit ligand	GO:0035234	IMP	PMID:17107997	http://purl.obolibrary.org/obo/PR_000000001
https://identifiers.org/uniprot:P29594	Casp2	Caspase-2	GO:0035234	IGI	PMID:11536012	http://purl.obolibrary.org/obo/PR_000000001
https://identifiers.org/uniprot:P52651	Rhox5	Homeobox protein Rhox5	GO:0035234	IMP	PMID:15707895	http://purl.obolibrary.org/obo/PR_000000001
https://identifiers.org/uniprot:P70343	Casp4	Caspase-4	GO:0035234	IMP	PMID:11536012	http://purl.obolibrary.org/obo/PR_000000001
https://identifiers.org/uniprot:P70343	Casp4	Caspase-4	GO:0035234	IGI	PMID:11536012	http://purl.obolibrary.org/obo/PR_000000001
https://identifiers.org/uniprot:P97313	Prkdc	DNA-dependent protein kinase catalytic subunit	GO:0035234	IMP	PMID:17145779	http://purl.obolibrary.org/obo/PR_000000001
https://identifiers.org/uniprot:Q07813	Bax	Apoptosis regulator BAX	GO:0035234	IMP	PMID:14660547	http://purl.obolibrary.org/obo/PR_000000001
https://identifiers.org/uniprot:Q07813	Bax	Apoptosis regulator BAX	GO:0035234	IGI	PMID:14660547	http://purl.obolibrary.org/obo/PR_000000001
https://identifiers.org/uniprot:Q07813	Bax	Apoptosis regulator BAX	GO:0035234	IGI	PMID:17107997	http://purl.obolibrary.org/obo/PR_000000001
https://identifiers.org/uniprot:Q61169	Gata6	Transcription factor GATA-6	GO:0007493	IDA	PMID:20308546	http://purl.obolibrary.org/obo/PR_000000001
