ID	SYMBOL	GENE_PRODUCT_NAME	GO_TERM	GO EVIDENCE CODE	REFERENCE	TAXON ID	SUPERCLASS
ID	A IAO:0000028	A rdfs:label	AI RO:0002263	>A oboInOwl:evidence	>A oboInOwl:hasDbXref	AI RO:0002162	SC %
https://identifiers.org/uniprot:Q8CDN8	Ccdc38	Coiled-coil domain-containing protein 38	GO:0035720	IMP	PMID:35587122	http://purl.obolibrary.org/obo/NCBITaxon_10090	http://purl.obolibrary.org/obo/PR_000000001
https://identifiers.org/uniprot:P02340	Tp53	Cellular tumor antigen p53	GO:0010659	IMP	PMID:22044588	http://purl.obolibrary.org/obo/NCBITaxon_10090	http://purl.obolibrary.org/obo/PR_000000001
https://identifiers.org/uniprot:P0DW27	Rbm10	Ribosome biogenesis inhibitor MINAS-60	GO:1905288	IDA	PMID:19508861	http://purl.obolibrary.org/obo/NCBITaxon_10090	http://purl.obolibrary.org/obo/PR_000000001
https://identifiers.org/uniprot:P70188	Kifap3	Kinesin-associated protein 3	GO:0010659	IMP	PMID:10793158	http://purl.obolibrary.org/obo/NCBITaxon_10090	http://purl.obolibrary.org/obo/PR_000000001
https://identifiers.org/uniprot:P97299	Sfrp2	Secreted frizzled-related protein 2	GO:0010659	IDA	PMID:17251350	http://purl.obolibrary.org/obo/NCBITaxon_10090	http://purl.obolibrary.org/obo/PR_000000001
https://identifiers.org/uniprot:Q8BZA9	Tigar	Fructose-2,6-bisphosphatase TIGAR	GO:0010659	IMP	PMID:22044588	http://purl.obolibrary.org/obo/NCBITaxon_10090	http://purl.obolibrary.org/obo/PR_000000001
https://identifiers.org/uniprot:Q8VIM5	Myocd	Myocardin	GO:0010659	IMP	PMID:19850880	http://purl.obolibrary.org/obo/NCBITaxon_10090	http://purl.obolibrary.org/obo/PR_000000001
https://identifiers.org/uniprot:Q99J83	Atg5	Autophagy protein 5	GO:0010659	IMP	PMID:17450150	http://purl.obolibrary.org/obo/NCBITaxon_10090	http://purl.obolibrary.org/obo/PR_000000001
https://identifiers.org/uniprot:Q99KG3	Rbm10	RNA-binding protein 10	GO:1905288	IDA	PMID:19508861	http://purl.obolibrary.org/obo/NCBITaxon_10090	http://purl.obolibrary.org/obo/PR_000000001
https://identifiers.org/uniprot:Q9D906	Atg7	Ubiquitin-like modifier-activating enzyme ATG7	GO:0010659	IMP	PMID:17450150	http://purl.obolibrary.org/obo/NCBITaxon_10090	http://purl.obolibrary.org/obo/PR_000000001
