ID	SYMBOL	GENE_PRODUCT_NAME	GO_TERM	GO EVIDENCE CODE	REFERENCE	TAXON ID	SUPERCLASS
ID	A IAO:0000028	A rdfs:label	AI RO:0002327	>A oboInOwl:evidence	>A oboInOwl:hasDbXref	AI RO:0002162	SC %
https://identifiers.org/uniprot:A0A2R8VI80	Tfap4	BHLH domain-containing protein	GO:0001228	IDA	PMID:15944155	http://purl.obolibrary.org/obo/NCBITaxon_10090	http://purl.obolibrary.org/obo/PR_000000001
https://identifiers.org/uniprot:A0A2R8VI80	Tfap4	BHLH domain-containing protein	GO:0001228	IMP	PMID:15944155	http://purl.obolibrary.org/obo/NCBITaxon_10090	http://purl.obolibrary.org/obo/PR_000000001
https://identifiers.org/uniprot:A0A2R8W6R9	Tfap4	BHLH domain-containing protein	GO:0001228	IDA	PMID:15944155	http://purl.obolibrary.org/obo/NCBITaxon_10090	http://purl.obolibrary.org/obo/PR_000000001
https://identifiers.org/uniprot:A0A2R8W6R9	Tfap4	BHLH domain-containing protein	GO:0001228	IMP	PMID:15944155	http://purl.obolibrary.org/obo/NCBITaxon_10090	http://purl.obolibrary.org/obo/PR_000000001
https://identifiers.org/uniprot:A0AVK6	E2F8	Transcription factor E2F8	GO:0001227	IDA	PMID:16179649	http://purl.obolibrary.org/obo/NCBITaxon_9606	http://purl.obolibrary.org/obo/PR_000000001
https://identifiers.org/uniprot:A1A546	Isx	Intestine-specific homeobox	GO:0001227	IMP	PMID:25701869	http://purl.obolibrary.org/obo/NCBITaxon_10090	http://purl.obolibrary.org/obo/PR_000000001
https://identifiers.org/uniprot:A2A935	Prdm16	Histone-lysine N-methyltransferase PRDM16	GO:0001228	IDA	PMID:28930673	http://purl.obolibrary.org/obo/NCBITaxon_10090	http://purl.obolibrary.org/obo/PR_000000001
https://identifiers.org/uniprot:A2AEW1	Tfe3	BHLH domain-containing protein	GO:0001228	IDA	PMID:16936731	http://purl.obolibrary.org/obo/NCBITaxon_10090	http://purl.obolibrary.org/obo/PR_000000001
https://identifiers.org/uniprot:A2AGL3	Ryr3	Ryanodine receptor 3	GO:0005219	IMP	PMID:8702664	http://purl.obolibrary.org/obo/NCBITaxon_10090	http://purl.obolibrary.org/obo/PR_000000001
https://identifiers.org/uniprot:A2AGL3	Ryr3	Ryanodine receptor 3	GO:0005219	IDA	PMID:9582272	http://purl.obolibrary.org/obo/NCBITaxon_10090	http://purl.obolibrary.org/obo/PR_000000001
https://identifiers.org/uniprot:A2AHT3	Kcnip3	EF-hand domain-containing protein	GO:0001227	IDA	PMID:11792319	http://purl.obolibrary.org/obo/NCBITaxon_10090	http://purl.obolibrary.org/obo/PR_000000001
https://identifiers.org/uniprot:A2AHT3	Kcnip3	EF-hand domain-containing protein	GO:0001227	IMP	PMID:11792319	http://purl.obolibrary.org/obo/NCBITaxon_10090	http://purl.obolibrary.org/obo/PR_000000001
https://identifiers.org/uniprot:A2ALD8	Lhx3	LIM/homeobox protein Lhx3	GO:0001228	IDA	PMID:9192866	http://purl.obolibrary.org/obo/NCBITaxon_10090	http://purl.obolibrary.org/obo/PR_000000001
https://identifiers.org/uniprot:A2AQ07	Tubb1	Tubulin beta-1 chain	GO:0005200	IDA	PMID:15121885	http://purl.obolibrary.org/obo/NCBITaxon_10090	http://purl.obolibrary.org/obo/PR_000000001
https://identifiers.org/uniprot:A2AWL7	Mga	MAX gene-associated protein	GO:0001228	IDA	PMID:10601024	http://purl.obolibrary.org/obo/NCBITaxon_10090	http://purl.obolibrary.org/obo/PR_000000001
https://identifiers.org/uniprot:A6NCS4	NKX2-6	Homeobox protein Nkx-2.6	GO:0001228	IMP	PMID:15649947	http://purl.obolibrary.org/obo/NCBITaxon_9606	http://purl.obolibrary.org/obo/PR_000000001
https://identifiers.org/uniprot:A6NJ46	NKX6-3	Homeobox protein Nkx-6.3	GO:0001227	IDA	PMID:26314965	http://purl.obolibrary.org/obo/NCBITaxon_9606	http://purl.obolibrary.org/obo/PR_000000001
https://identifiers.org/uniprot:A6NJ46	NKX6-3	Homeobox protein Nkx-6.3	GO:0001228	IDA	PMID:26314965	http://purl.obolibrary.org/obo/NCBITaxon_9606	http://purl.obolibrary.org/obo/PR_000000001
https://identifiers.org/uniprot:A6NKF2	ARID3C	AT-rich interactive domain-containing protein 3C	GO:0000981	IDA	PMID:38231884	http://purl.obolibrary.org/obo/NCBITaxon_9606	http://purl.obolibrary.org/obo/PR_000000001
https://identifiers.org/uniprot:A8MTJ6	FOXI3	Forkhead box protein I3	GO:0000981	IDA	PMID:37041148	http://purl.obolibrary.org/obo/NCBITaxon_9606	http://purl.obolibrary.org/obo/PR_000000001
https://identifiers.org/uniprot:B1AS29	Grik3	Glutamate receptor ionotropic, kainate 3	GO:0022849	IDA	PMID:20007474	http://purl.obolibrary.org/obo/NCBITaxon_10090	http://purl.obolibrary.org/obo/PR_000000001
https://identifiers.org/uniprot:B7ZP08	Arid3c	AT-rich interactive domain-containing protein 3	GO:0001228	IDA	PMID:21955986	http://purl.obolibrary.org/obo/NCBITaxon_10090	http://purl.obolibrary.org/obo/PR_000000001
https://identifiers.org/uniprot:D2EAC2	Zbed6	Zinc finger BED domain-containing protein 6	GO:0001227	IDA	PMID:20016685	http://purl.obolibrary.org/obo/NCBITaxon_10090	http://purl.obolibrary.org/obo/PR_000000001
https://identifiers.org/uniprot:D3YWT3	Tcf7l2	HMG box domain-containing protein	GO:0001228	IDA	PMID:20044351	http://purl.obolibrary.org/obo/NCBITaxon_10090	http://purl.obolibrary.org/obo/PR_000000001
