ID	GENE PRODUCT ID	GO EVIDENCE CODE	REFERENCE	TAXON ID
ID	AI RO:0002331	>A oboInOwl:evidence	>A oboInOwl:hasDbXref	AI RO:0002162
GO:0035782	https://identifiers.org/uniprot:P47992	IDA	PMID:9029087	http://purl.obolibrary.org/obo/NCBITaxon_9606
GO:0035782	https://identifiers.org/uniprot:P47993	IDA	PMID:9029087	http://purl.obolibrary.org/obo/NCBITaxon_10090
GO:0021849	https://identifiers.org/uniprot:O08919	IMP	PMID:17174898	http://purl.obolibrary.org/obo/NCBITaxon_10090
GO:0021847	https://identifiers.org/uniprot:P16092	IMP	PMID:20410112	http://purl.obolibrary.org/obo/NCBITaxon_10090
GO:0021847	https://identifiers.org/uniprot:P21803	IMP	PMID:20410112	http://purl.obolibrary.org/obo/NCBITaxon_10090
GO:0055059	https://identifiers.org/uniprot:P35711	IGI	PMID:23946438	http://purl.obolibrary.org/obo/NCBITaxon_9606
GO:0055059	https://identifiers.org/uniprot:Q60875	IMP	PMID:28453519	http://purl.obolibrary.org/obo/NCBITaxon_10090
GO:0021849	https://identifiers.org/uniprot:Q80VW7	IDA	PMID:30787442	http://purl.obolibrary.org/obo/NCBITaxon_10090
GO:0055059	https://identifiers.org/uniprot:Q92974	IDA	PMID:28453519	http://purl.obolibrary.org/obo/NCBITaxon_9606
GO:0045200	https://identifiers.org/uniprot:Q96N67	IMP	PMID:16982419	http://purl.obolibrary.org/obo/NCBITaxon_9606
GO:0055059	https://identifiers.org/uniprot:Q99594	IGI	PMID:23946438	http://purl.obolibrary.org/obo/NCBITaxon_9606
GO:0021849	https://identifiers.org/uniprot:Q9QZS3	IMP	PMID:17174898	http://purl.obolibrary.org/obo/NCBITaxon_10090
GO:0097252	https://identifiers.org/uniprot:P04637	IDA	PMID:7720704	http://purl.obolibrary.org/obo/NCBITaxon_9606
GO:0097252	https://identifiers.org/uniprot:P06802	IMP	PMID:21935678	http://purl.obolibrary.org/obo/NCBITaxon_10090
GO:0097252	https://identifiers.org/uniprot:Q9EPU5	IMP	PMID:21725297	http://purl.obolibrary.org/obo/NCBITaxon_10090
GO:0007405	https://identifiers.org/uniprot:B2RXS4	IMP	PMID:17554007	http://purl.obolibrary.org/obo/NCBITaxon_10090
GO:0007405	https://identifiers.org/uniprot:P16388	IMP	PMID:17315199	http://purl.obolibrary.org/obo/NCBITaxon_10090
GO:0007405	https://identifiers.org/uniprot:P70257	IMP	PMID:26923583	http://purl.obolibrary.org/obo/NCBITaxon_10090
GO:0007405	https://identifiers.org/uniprot:Q05BC3	IMP	PMID:24859200	http://purl.obolibrary.org/obo/NCBITaxon_10090
GO:0007405	https://identifiers.org/uniprot:Q9WVM1	IEP	PMID:10493933	http://purl.obolibrary.org/obo/NCBITaxon_10090
GO:0002305	https://identifiers.org/uniprot:P26715	IDA	PMID:18064301	http://purl.obolibrary.org/obo/NCBITaxon_9606
GO:0046629	https://identifiers.org/uniprot:P97792	IDA	PMID:20813954	http://purl.obolibrary.org/obo/NCBITaxon_10090
GO:0042492	https://identifiers.org/uniprot:Q00417	IMP	PMID:30413363	http://purl.obolibrary.org/obo/NCBITaxon_10090
GO:0046629	https://identifiers.org/uniprot:Q03526	IMP	PMID:23562159	http://purl.obolibrary.org/obo/NCBITaxon_10090
GO:0042492	https://identifiers.org/uniprot:Q04891	IMP	PMID:17218525	http://purl.obolibrary.org/obo/NCBITaxon_10090
GO:0042492	https://identifiers.org/uniprot:Q04891	IMP	PMID:30413363	http://purl.obolibrary.org/obo/NCBITaxon_10090
GO:0046629	https://identifiers.org/uniprot:Q29980	IDA	PMID:9497295	http://purl.obolibrary.org/obo/NCBITaxon_9606
GO:0046629	https://identifiers.org/uniprot:Q29983	IDA	PMID:9497295	http://purl.obolibrary.org/obo/NCBITaxon_9606
GO:0046629	https://identifiers.org/uniprot:Q80UL9	IDA	PMID:20813954	http://purl.obolibrary.org/obo/NCBITaxon_10090
