ID	GENE PRODUCT ID	GO EVIDENCE CODE	REFERENCE	TAXON ID
ID	AI RO:0001025	>A oboInOwl:evidence	>A oboInOwl:hasDbXref	AI RO:0002162
GO:0043220	https://identifiers.org/uniprot:O08586	IDA	PMID:20237282	http://purl.obolibrary.org/obo/NCBITaxon_10090
GO:0043218	https://identifiers.org/uniprot:P04370	IDA	PMID:12718855	http://purl.obolibrary.org/obo/NCBITaxon_10090
GO:0043220	https://identifiers.org/uniprot:P07356	IDA	PMID:20237282	http://purl.obolibrary.org/obo/NCBITaxon_10090
GO:0043220	https://identifiers.org/uniprot:P09803	IDA	PMID:20237282	http://purl.obolibrary.org/obo/NCBITaxon_10090
GO:0043218	https://identifiers.org/uniprot:P16646	IDA	PMID:11114256	http://purl.obolibrary.org/obo/NCBITaxon_10090
GO:0043218	https://identifiers.org/uniprot:P16646	IDA	PMID:29315582	http://purl.obolibrary.org/obo/NCBITaxon_10090
GO:0043218	https://identifiers.org/uniprot:P20916	IDA	PMID:6200494	http://purl.obolibrary.org/obo/NCBITaxon_9606
GO:0043220	https://identifiers.org/uniprot:P20917	IDA	PMID:12975355	http://purl.obolibrary.org/obo/NCBITaxon_10090
GO:0043220	https://identifiers.org/uniprot:Q3UZP0	IDA	PMID:21097846	http://purl.obolibrary.org/obo/NCBITaxon_10090
GO:0043220	https://identifiers.org/uniprot:Q62074	IDA	PMID:20237282	http://purl.obolibrary.org/obo/NCBITaxon_10090
GO:0043220	https://identifiers.org/uniprot:Q8VBX6	IDA	PMID:20237282	http://purl.obolibrary.org/obo/NCBITaxon_10090
GO:0043220	https://identifiers.org/uniprot:Q8VDQ8	IDA	PMID:16933150	http://purl.obolibrary.org/obo/NCBITaxon_10090
GO:0043220	https://identifiers.org/uniprot:Q99NH2	IDA	PMID:20237282	http://purl.obolibrary.org/obo/NCBITaxon_10090
GO:0043220	https://identifiers.org/uniprot:Q9D8B7	IDA	PMID:21097846	http://purl.obolibrary.org/obo/NCBITaxon_10090
GO:0043220	https://identifiers.org/uniprot:Q9ET38	IDA	PMID:15883201	http://purl.obolibrary.org/obo/NCBITaxon_10090
GO:0043220	https://identifiers.org/uniprot:Q9JLB2	IDA	PMID:20237282	http://purl.obolibrary.org/obo/NCBITaxon_10090
GO:0035748	https://identifiers.org/uniprot:O35382	IDA	PMID:20237282	http://purl.obolibrary.org/obo/NCBITaxon_10090
GO:0035748	https://identifiers.org/uniprot:P09055	IDA	PMID:20237282	http://purl.obolibrary.org/obo/NCBITaxon_10090
GO:0035748	https://identifiers.org/uniprot:Q02956	IDA	PMID:20237282	http://purl.obolibrary.org/obo/NCBITaxon_10090
GO:0035748	https://identifiers.org/uniprot:Q80U72	IDA	PMID:20237282	http://purl.obolibrary.org/obo/NCBITaxon_10090
GO:0035748	https://identifiers.org/uniprot:Q80Y17	IDA	PMID:20237282	http://purl.obolibrary.org/obo/NCBITaxon_10090
GO:0035748	https://identifiers.org/uniprot:Q811D0	IDA	PMID:20237282	http://purl.obolibrary.org/obo/NCBITaxon_10090
GO:0030141	https://identifiers.org/uniprot:A0A0U1RNY1	IDA	PMID:16423834	http://purl.obolibrary.org/obo/NCBITaxon_10090
GO:0030141	https://identifiers.org/uniprot:A0A0U1RP84	IDA	PMID:16423834	http://purl.obolibrary.org/obo/NCBITaxon_10090
GO:0030667	https://identifiers.org/uniprot:A0A494B9E3	IDA	PMID:17046993	http://purl.obolibrary.org/obo/NCBITaxon_10090
GO:0001669	https://identifiers.org/uniprot:A3FIN4	IDA	PMID:19657017	http://purl.obolibrary.org/obo/NCBITaxon_10090
GO:0001669	https://identifiers.org/uniprot:A4D1T9	IDA	PMID:27649891	http://purl.obolibrary.org/obo/NCBITaxon_9606
GO:0032593	https://identifiers.org/uniprot:A6H8H2	IDA	PMID:21454697	http://purl.obolibrary.org/obo/NCBITaxon_10090
GO:0001669	https://identifiers.org/uniprot:A6NMN3	IDA	PMID:26179146	http://purl.obolibrary.org/obo/NCBITaxon_9606
GO:0002079	https://identifiers.org/uniprot:A6PWV3	IDA	PMID:34114279	http://purl.obolibrary.org/obo/NCBITaxon_10090
GO:0002080	https://identifiers.org/uniprot:B2RY51	IDA	PMID:21337470	http://purl.obolibrary.org/obo/NCBITaxon_10090
GO:0001669	https://identifiers.org/uniprot:D0G895	IDA	PMID:20421979	http://purl.obolibrary.org/obo/NCBITaxon_10090
GO:0030667	https://identifiers.org/uniprot:D3Z5L6	IDA	PMID:28082679	http://purl.obolibrary.org/obo/NCBITaxon_10090
GO:0030667	https://identifiers.org/uniprot:D6RFN1	IDA	PMID:17046993	http://purl.obolibrary.org/obo/NCBITaxon_10090
GO:0001669	https://identifiers.org/uniprot:E9PVD1	IDA	PMID:28339613	http://purl.obolibrary.org/obo/NCBITaxon_10090
GO:0001669	https://identifiers.org/uniprot:E9PXT9	IDA	PMID:26179146	http://purl.obolibrary.org/obo/NCBITaxon_10090
GO:0002081	https://identifiers.org/uniprot:E9PXT9	IDA	PMID:26179146	http://purl.obolibrary.org/obo/NCBITaxon_10090
GO:0001669	https://identifiers.org/uniprot:E9Q0C6	IDA	PMID:28203736	http://purl.obolibrary.org/obo/NCBITaxon_10090
GO:0002080	https://identifiers.org/uniprot:E9Q512	IDA	PMID:21337470	http://purl.obolibrary.org/obo/NCBITaxon_10090
GO:0001669	https://identifiers.org/uniprot:E9Q8Q8	IDA	PMID:32393636	http://purl.obolibrary.org/obo/NCBITaxon_10090
GO:0030667	https://identifiers.org/uniprot:F6XRE6	IDA	PMID:17046993	http://purl.obolibrary.org/obo/NCBITaxon_10090
GO:0030667	https://identifiers.org/uniprot:F6ZFB8	IDA	PMID:17046993	http://purl.obolibrary.org/obo/NCBITaxon_10090
GO:0002080	https://identifiers.org/uniprot:H3BJG4	IDA	PMID:21337470	http://purl.obolibrary.org/obo/NCBITaxon_10090
GO:0002080	https://identifiers.org/uniprot:H3BJH8	IDA	PMID:21337470	http://purl.obolibrary.org/obo/NCBITaxon_10090
GO:0002080	https://identifiers.org/uniprot:H3BJU5	IDA	PMID:21337470	http://purl.obolibrary.org/obo/NCBITaxon_10090
GO:0042581	https://identifiers.org/uniprot:O00161	IDA	PMID:18588921	http://purl.obolibrary.org/obo/NCBITaxon_9606
GO:0042582	https://identifiers.org/uniprot:O00161	IDA	PMID:18588921	http://purl.obolibrary.org/obo/NCBITaxon_9606
GO:0031091	https://identifiers.org/uniprot:O00186	IDA	PMID:12773094	http://purl.obolibrary.org/obo/NCBITaxon_9606
