ID	SYMBOL	GENE_PRODUCT_NAME	GO_TERM	GO EVIDENCE CODE	REFERENCE	TAXON ID	SUPERCLASS
ID	A IAO:0000028	A rdfs:label	AI BFO:0000050	>A oboInOwl:evidence	>A oboInOwl:hasDbXref	AI RO:0002162	SC %
https://identifiers.org/uniprot/O43504	LAMTOR5	Ragulator complex protein LAMTOR5	GO:0071986	IBA	GO_REF:0000033	http://purl.obolibrary.org/obo/NCBITaxon_9606	http://purl.obolibrary.org/obo/PR_000000001
https://identifiers.org/uniprot/O43504	LAMTOR5	Ragulator complex protein LAMTOR5	GO:0071986	IDA	PMID:22980980	http://purl.obolibrary.org/obo/NCBITaxon_9606	http://purl.obolibrary.org/obo/PR_000000001
https://identifiers.org/uniprot/O43504	LAMTOR5	Ragulator complex protein LAMTOR5	GO:0071986	IDA	PMID:28935770	http://purl.obolibrary.org/obo/NCBITaxon_9606	http://purl.obolibrary.org/obo/PR_000000001
https://identifiers.org/uniprot/O43504	LAMTOR5	Ragulator complex protein LAMTOR5	GO:0071986	IPI	PMID:28935770	http://purl.obolibrary.org/obo/NCBITaxon_9606	http://purl.obolibrary.org/obo/PR_000000001
https://identifiers.org/uniprot/O43504	LAMTOR5	Ragulator complex protein LAMTOR5	GO:0071986	IDA	PMID:29123114	http://purl.obolibrary.org/obo/NCBITaxon_9606	http://purl.obolibrary.org/obo/PR_000000001
https://identifiers.org/uniprot/O43504	LAMTOR5	Ragulator complex protein LAMTOR5	GO:0071986	IDA	PMID:29158492	http://purl.obolibrary.org/obo/NCBITaxon_9606	http://purl.obolibrary.org/obo/PR_000000001
https://identifiers.org/uniprot/O43504	LAMTOR5	Ragulator complex protein LAMTOR5	GO:0071986	IDA	PMID:31601708	http://purl.obolibrary.org/obo/NCBITaxon_9606	http://purl.obolibrary.org/obo/PR_000000001
https://identifiers.org/uniprot/O75348	ATP6V1G1	V-type proton ATPase subunit G 1	GO:0000221	IBA	GO_REF:0000033	http://purl.obolibrary.org/obo/NCBITaxon_9606	http://purl.obolibrary.org/obo/PR_000000001
https://identifiers.org/uniprot/O75348	ATP6V1G1	V-type proton ATPase subunit G 1	GO:0000221	IDA	PMID:33065002	http://purl.obolibrary.org/obo/NCBITaxon_9606	http://purl.obolibrary.org/obo/PR_000000001
https://identifiers.org/uniprot/O75787	ATP6AP2	Renin receptor	GO:0016471	IMP	PMID:29127204	http://purl.obolibrary.org/obo/NCBITaxon_9606	http://purl.obolibrary.org/obo/PR_000000001
https://identifiers.org/uniprot/O75787	ATP6AP2	Renin receptor	GO:0016471	IMP	PMID:30985297	http://purl.obolibrary.org/obo/NCBITaxon_9606	http://purl.obolibrary.org/obo/PR_000000001
https://identifiers.org/uniprot/O88653	Lamtor3	Ragulator complex protein LAMTOR3	GO:0071986	IBA	GO_REF:0000033	http://purl.obolibrary.org/obo/NCBITaxon_10090	http://purl.obolibrary.org/obo/PR_000000001
https://identifiers.org/uniprot/O95670	ATP6V1G2	V-type proton ATPase subunit G 2	GO:0000221	IBA	GO_REF:0000033	http://purl.obolibrary.org/obo/NCBITaxon_9606	http://purl.obolibrary.org/obo/PR_000000001
https://identifiers.org/uniprot/P15313	ATP6V1B1	V-type proton ATPase subunit B, kidney isoform	GO:0000221	IDA	PMID:33065002	http://purl.obolibrary.org/obo/NCBITaxon_9606	http://purl.obolibrary.org/obo/PR_000000001
https://identifiers.org/uniprot/P15313	ATP6V1B1	V-type proton ATPase subunit B, kidney isoform	GO:0016471	IMP	PMID:12414817	http://purl.obolibrary.org/obo/NCBITaxon_9606	http://purl.obolibrary.org/obo/PR_000000001
https://identifiers.org/uniprot/P15920	Atp6v0a2	V-type proton ATPase 116 kDa subunit a 2	GO:0016471	IBA	GO_REF:0000033	http://purl.obolibrary.org/obo/NCBITaxon_10090	http://purl.obolibrary.org/obo/PR_000000001
https://identifiers.org/uniprot/P21281	ATP6V1B2	V-type proton ATPase subunit B, brain isoform	GO:0000221	IDA	PMID:33065002	http://purl.obolibrary.org/obo/NCBITaxon_9606	http://purl.obolibrary.org/obo/PR_000000001
https://identifiers.org/uniprot/P21283	ATP6V1C1	V-type proton ATPase subunit C 1	GO:0000221	IBA	GO_REF:0000033	http://purl.obolibrary.org/obo/NCBITaxon_9606	http://purl.obolibrary.org/obo/PR_000000001
https://identifiers.org/uniprot/P36543	ATP6V1E1	V-type proton ATPase subunit E 1	GO:0000221	IDA	PMID:33065002	http://purl.obolibrary.org/obo/NCBITaxon_9606	http://purl.obolibrary.org/obo/PR_000000001
https://identifiers.org/uniprot/P38606	ATP6V1A	V-type proton ATPase catalytic subunit A	GO:0000221	IDA	PMID:33065002	http://purl.obolibrary.org/obo/NCBITaxon_9606	http://purl.obolibrary.org/obo/PR_000000001
https://identifiers.org/uniprot/P49754	VPS41	Vacuolar protein sorting-associated protein 41 homolog	GO:1902501	IDA	PMID:21802320	http://purl.obolibrary.org/obo/NCBITaxon_9606	http://purl.obolibrary.org/obo/PR_000000001
https://identifiers.org/uniprot/P51863	Atp6v0d1	V-type proton ATPase subunit d 1	GO:0016471	IBA	GO_REF:0000033	http://purl.obolibrary.org/obo/NCBITaxon_10090	http://purl.obolibrary.org/obo/PR_000000001
https://identifiers.org/uniprot/P61421	ATP6V0D1	V-type proton ATPase subunit d 1	GO:0016471	IBA	GO_REF:0000033	http://purl.obolibrary.org/obo/NCBITaxon_9606	http://purl.obolibrary.org/obo/PR_000000001
https://identifiers.org/uniprot/P61421	ATP6V0D1	V-type proton ATPase subunit d 1	GO:0016471	IDA	PMID:18752060	http://purl.obolibrary.org/obo/NCBITaxon_9606	http://purl.obolibrary.org/obo/PR_000000001
https://identifiers.org/uniprot/Q08AM6	VAC14	Protein VAC14 homolog	GO:0070772	IBA	GO_REF:0000033	http://purl.obolibrary.org/obo/NCBITaxon_9606	http://purl.obolibrary.org/obo/PR_000000001
https://identifiers.org/uniprot/Q0VGL1	LAMTOR4	Ragulator complex protein LAMTOR4	GO:0071986	IBA	GO_REF:0000033	http://purl.obolibrary.org/obo/NCBITaxon_9606	http://purl.obolibrary.org/obo/PR_000000001
https://identifiers.org/uniprot/Q0VGL1	LAMTOR4	Ragulator complex protein LAMTOR4	GO:0071986	IDA	PMID:22980980	http://purl.obolibrary.org/obo/NCBITaxon_9606	http://purl.obolibrary.org/obo/PR_000000001
https://identifiers.org/uniprot/Q0VGL1	LAMTOR4	Ragulator complex protein LAMTOR4	GO:0071986	IDA	PMID:28935770	http://purl.obolibrary.org/obo/NCBITaxon_9606	http://purl.obolibrary.org/obo/PR_000000001
https://identifiers.org/uniprot/Q0VGL1	LAMTOR4	Ragulator complex protein LAMTOR4	GO:0071986	IPI	PMID:28935770	http://purl.obolibrary.org/obo/NCBITaxon_9606	http://purl.obolibrary.org/obo/PR_000000001
https://identifiers.org/uniprot/Q0VGL1	LAMTOR4	Ragulator complex protein LAMTOR4	GO:0071986	IDA	PMID:29123114	http://purl.obolibrary.org/obo/NCBITaxon_9606	http://purl.obolibrary.org/obo/PR_000000001
https://identifiers.org/uniprot/Q0VGL1	LAMTOR4	Ragulator complex protein LAMTOR4	GO:0071986	IDA	PMID:29158492	http://purl.obolibrary.org/obo/NCBITaxon_9606	http://purl.obolibrary.org/obo/PR_000000001
https://identifiers.org/uniprot/Q0VGL1	LAMTOR4	Ragulator complex protein LAMTOR4	GO:0071986	IDA	PMID:31601708	http://purl.obolibrary.org/obo/NCBITaxon_9606	http://purl.obolibrary.org/obo/PR_000000001
https://identifiers.org/uniprot/Q13488	TCIRG1	V-type proton ATPase 116 kDa subunit a 3	GO:0016471	IBA	GO_REF:0000033	http://purl.obolibrary.org/obo/NCBITaxon_9606	http://purl.obolibrary.org/obo/PR_000000001
https://identifiers.org/uniprot/Q16864	ATP6V1F	V-type proton ATPase subunit F	GO:0016471	IDA	PMID:18752060	http://purl.obolibrary.org/obo/NCBITaxon_9606	http://purl.obolibrary.org/obo/PR_000000001
https://identifiers.org/uniprot/Q6IAA8	LAMTOR1	Ragulator complex protein LAMTOR1	GO:0071986	IBA	GO_REF:0000033	http://purl.obolibrary.org/obo/NCBITaxon_9606	http://purl.obolibrary.org/obo/PR_000000001
https://identifiers.org/uniprot/Q6IAA8	LAMTOR1	Ragulator complex protein LAMTOR1	GO:0071986	IDA	PMID:20381137	http://purl.obolibrary.org/obo/NCBITaxon_9606	http://purl.obolibrary.org/obo/PR_000000001
https://identifiers.org/uniprot/Q6IAA8	LAMTOR1	Ragulator complex protein LAMTOR1	GO:0071986	IPI	PMID:28935770	http://purl.obolibrary.org/obo/NCBITaxon_9606	http://purl.obolibrary.org/obo/PR_000000001
https://identifiers.org/uniprot/Q6IAA8	LAMTOR1	Ragulator complex protein LAMTOR1	GO:0071986	IDA	PMID:29158492	http://purl.obolibrary.org/obo/NCBITaxon_9606	http://purl.obolibrary.org/obo/PR_000000001
https://identifiers.org/uniprot/Q6IAA8	LAMTOR1	Ragulator complex protein LAMTOR1	GO:0071986	IDA	PMID:31601708	http://purl.obolibrary.org/obo/NCBITaxon_9606	http://purl.obolibrary.org/obo/PR_000000001
https://identifiers.org/uniprot/Q6PGD0	Atraid	All-trans retinoic acid-induced differentiation factor	GO:0005765	IDA	PMID:25839652	http://purl.obolibrary.org/obo/NCBITaxon_10090	http://purl.obolibrary.org/obo/PR_000000001
https://identifiers.org/uniprot/Q80SY3	Atp6v0d2	V-type proton ATPase subunit d 2	GO:0016471	IBA	GO_REF:0000033	http://purl.obolibrary.org/obo/NCBITaxon_10090	http://purl.obolibrary.org/obo/PR_000000001
https://identifiers.org/uniprot/Q80WQ2	Vac14	Protein VAC14 homolog	GO:0070772	IBA	GO_REF:0000033	http://purl.obolibrary.org/obo/NCBITaxon_10090	http://purl.obolibrary.org/obo/PR_000000001
https://identifiers.org/uniprot/Q8BMC1	Atp6v1g3	V-type proton ATPase subunit G 3	GO:0000221	IBA	GO_REF:0000033	http://purl.obolibrary.org/obo/NCBITaxon_10090	http://purl.obolibrary.org/obo/PR_000000001
https://identifiers.org/uniprot/Q8CF66	Lamtor4	Ragulator complex protein LAMTOR4	GO:0071986	IBA	GO_REF:0000033	http://purl.obolibrary.org/obo/NCBITaxon_10090	http://purl.obolibrary.org/obo/PR_000000001
https://identifiers.org/uniprot/Q8N511	VMA12	Vacuolar ATPase assembly protein VMA12	GO:0016471	IDA	PMID:28296633	http://purl.obolibrary.org/obo/NCBITaxon_9606	http://purl.obolibrary.org/obo/PR_000000001
https://identifiers.org/uniprot/Q8N8Y2	ATP6V0D2	V-type proton ATPase subunit d 2	GO:0016471	IBA	GO_REF:0000033	http://purl.obolibrary.org/obo/NCBITaxon_9606	http://purl.obolibrary.org/obo/PR_000000001
https://identifiers.org/uniprot/Q8N8Y2	ATP6V0D2	V-type proton ATPase subunit d 2	GO:0016471	IDA	PMID:18752060	http://purl.obolibrary.org/obo/NCBITaxon_9606	http://purl.obolibrary.org/obo/PR_000000001
https://identifiers.org/uniprot/Q8NEY4	ATP6V1C2	V-type proton ATPase subunit C 2	GO:0000221	IBA	GO_REF:0000033	http://purl.obolibrary.org/obo/NCBITaxon_9606	http://purl.obolibrary.org/obo/PR_000000001
https://identifiers.org/uniprot/Q920R6	Atp6v0a4	V-type proton ATPase 116 kDa subunit a 4	GO:0016471	IBA	GO_REF:0000033	http://purl.obolibrary.org/obo/NCBITaxon_10090	http://purl.obolibrary.org/obo/PR_000000001
https://identifiers.org/uniprot/Q920R6	Atp6v0a4	V-type proton ATPase 116 kDa subunit a 4	GO:0016471	IPI	PMID:11498539	http://purl.obolibrary.org/obo/NCBITaxon_10090	http://purl.obolibrary.org/obo/PR_000000001
https://identifiers.org/uniprot/Q93050	ATP6V0A1	V-type proton ATPase 116 kDa subunit a 1	GO:0016471	IBA	GO_REF:0000033	http://purl.obolibrary.org/obo/NCBITaxon_9606	http://purl.obolibrary.org/obo/PR_000000001
https://identifiers.org/uniprot/Q96JC1	VPS39	Vam6/Vps39-like protein	GO:1902501	IDA	PMID:33422265	http://purl.obolibrary.org/obo/NCBITaxon_9606	http://purl.obolibrary.org/obo/PR_000000001
https://identifiers.org/uniprot/Q96LB4	ATP6V1G3	V-type proton ATPase subunit G 3	GO:0000221	IBA	GO_REF:0000033	http://purl.obolibrary.org/obo/NCBITaxon_9606	http://purl.obolibrary.org/obo/PR_000000001
