defined_class	Marker_set_of	Minimal_markers	Minimal_markers_label	Species_abbv	Organ_region	Parent	FBeta_confidence_score
CLM:1001253	diffuse bipolar 3b cell	ensembl:ENSG00000198691|ensembl:ENSG00000175497	ABCA4|DPP10	Human	UBERON:0000966	SO:0001260	0.765019652
CLM:1001254	diffuse bipolar 1 cell	ensembl:ENSG00000144227|ensembl:ENSG00000164330	NXPH2|EBF1	Human	UBERON:0000966	SO:0001260	0.752547687
CLM:1001255	OFFx cell	ensembl:ENSG00000278254|ensembl:ENSG00000178568	ENSG00000278254|ERBB4	Human	UBERON:0000966	SO:0001260	0.722779636
CLM:1001256	diffuse bipolar 4b cell	ensembl:ENSG00000145730|ensembl:ENSG00000196569	PAM|LAMA2	Human	UBERON:0000966	SO:0001260	0.489741893
CLM:1001257	diffuse bipolar 6 cell	ensembl:ENSG00000275443	ENSG00000275443	Human	UBERON:0000966	SO:0001260	0.817444508
CLM:1001258	diffuse bipolar 2 cell	ensembl:ENSG00000163377|ensembl:ENSG00000171587	TAFA4|DSCAM	Human	UBERON:0000966	SO:0001260	0.886091243
CLM:1001259	ON-blue cone bipolar cell	ensembl:ENSG00000156395|ensembl:ENSG00000183662	SORCS3|TAFA1	Human	UBERON:0000966	SO:0001260	0.709302326
CLM:1001260	diffuse bipolar 3a cell	ensembl:ENSG00000267109	ENSG00000267109	Human	UBERON:0000966	SO:0001260	0.848827502
CLM:1001261	cone retinal bipolar cell	ensembl:ENSG00000101134|ensembl:ENSG00000184005	DOK5|ST6GALNAC3	Human	UBERON:0000966	SO:0001260	0.782434709
CLM:1001262	flat midget bipolar cell	ensembl:ENSG00000171951|ensembl:ENSG00000163377	SCG2|TAFA4	Human	UBERON:0000966	SO:0001260	0.891115106
CLM:1001263	diffuse bipolar 4a cell	ensembl:ENSG00000265485	LINC01915	Human	UBERON:0000966	SO:0001260	0.814956496
CLM:1001264	invaginating midget bipolar cell	ensembl:ENSG00000196090|ensembl:ENSG00000079691	PTPRT|CARMIL1	Human	UBERON:0000966	SO:0001260	0.80078521
CLM:1001265	giant bipolar cell	ensembl:ENSG00000152818|ensembl:ENSG00000140538	UTRN|NTRK3	Human	UBERON:0000966	SO:0001260	0.725035162
CLM:1001266	rod bipolar cell	ensembl:ENSG00000227681|ensembl:ENSG00000154102	ENSG00000227681|C16orf74	Human	UBERON:0000966	SO:0001260	0.907779697
CLM:1000063	pvalb chandelier GABAergic interneuron	ensembl:ENSG00000174948|ensembl:ENSG00000178538	GPR149|CA8	Human	UBERON:0001950	SO:0001260	0.799748111
CLM:1000065	L2/3 intratelencephalic projecting glutamatergic neuron	ensembl:ENSG00000119547|ensembl:ENSG00000204262	ONECUT2|COL5A2	Human	UBERON:0001950	SO:0001260	0.670149932
CLM:1000066	L4 intratelencephalic projecting glutamatergic neuron	ensembl:ENSG00000198963|ensembl:ENSG00000113532	RORB|ST8SIA4	Human	UBERON:0001950	SO:0001260	0.720108696
CLM:1000067	L5 extratelencephalic projecting glutamatergic cortical neuron	ensembl:ENSG00000124302|ensembl:ENSG00000185668	CHST8|POU3F1	Human	UBERON:0001950	SO:0001260	0.815891473
CLM:1000068	L5 intratelencephalic projecting glutamatergic neuron	ensembl:ENSG00000180801|ensembl:ENSG00000198963|ensembl:ENSG00000082482	ARSJ|RORB|KCNK2	Human	UBERON:0001950	SO:0001260	0.764261336
